geoid,state,district,number,number_moe,state_number,state_number_moe,country_number,country_number_moe,ratio_state_number,ratio_state_number_moe,ratio_country_number,ratio_country_number_moe,percentage,percentage_moe,state_percentage,state_percentage_moe,country_percentage,country_percentage_moe,ratio_state_percentage,ratio_state_percentage_moe,ratio_country_percentage,ratio_country_percentage_moe
50000US0504,Arkansas,4,46413.0,3011.0,197781.0,5501.0,18496937.0,66959.0,0.23466864865684772,0.04353545339902919,0.0025092262572987086,0.0003437387434152816,8.48,0.55,8.69,0.24,7.44,0.03,0.9758342922899886,0.1806211361211792,1.1397849462365592,0.15704382984027881
50000US2404,Maryland,4,48384.0,3307.0,370459.0,8711.0,18496937.0,66959.0,0.13060554609282,0.024008939184165676,0.0026157844404184325,0.00037651595424199283,8.48,0.56,7.98,0.19,7.44,0.03,1.06265664160401,0.19106188613905722,1.1397849462365592,0.159732045591272
50000US4811,Texas,11,47625.0,3554.0,1460627.0,20030.0,18496937.0,66959.0,0.0326058603599687,0.005761753951095124,0.0025747506195214916,0.0004029263396175057,8.47,0.63,7.13,0.1,7.44,0.03,1.1879382889200563,0.21008166935225248,1.1384408602150538,0.17853871626858311
50000US2402,Maryland,2,48765.0,3147.0,370459.0,8711.0,18496937.0,66959.0,0.13163399998380387,0.023193061061304584,0.0026363824453746044,0.0003593646975935032,8.45,0.52,7.98,0.19,7.44,0.03,1.0588972431077692,0.18085201659850136,1.1357526881720428,0.14894666384837596
50000US3403,New Jersey,3,49049.0,2641.0,330766.0,7243.0,18496937.0,66959.0,0.14828912282399037,0.022474138023888125,0.0026517363388327483,0.000304763383213066,8.43,0.45,4.76,0.1,7.44,0.03,1.7710084033613445,0.2636040904996556,1.1330645161290323,0.13010747443214152
50000US3102,Nebraska,2,40857.0,2571.0,120533.0,4196.0,18496937.0,66959.0,0.3389694108667336,0.06634134938433421,0.0022088522007724844,0.00029398793591160814,8.42,0.53,8.44,0.29,7.44,0.03,0.9976303317535545,0.19437944047393169,1.1317204301075268,0.15160236086044582
50000US1309,Georgia,9,47355.0,3485.0,643660.0,12512.0,18496937.0,66959.0,0.07357145076593233,0.013694159431262854,0.002560153608135228,0.0003953598632531542,8.37,0.61,8.3,0.16,7.44,0.03,1.008433734939759,0.18593641997897314,1.1249999999999998,0.17305388897018573
50000US0642,California,42,48780.0,3808.0,1624519.0,22622.0,18496937.0,66959.0,0.030027349633953187,0.005525511274222124,0.0026371933904516193,0.00043084279831122617,8.37,0.64,5.41,0.08,7.44,0.03,1.5471349353049906,0.28241694775081416,1.1249999999999998,0.18111853622316526
50000US4101,Oregon,1,53782.0,3023.0,295845.0,6445.0,18496937.0,66959.0,0.1817911406310737,0.028370501966296754,0.0029076165421334354,0.00034792065979566113,8.36,0.47,9.18,0.2,7.44,0.03,0.9106753812636166,0.14214482788095792,1.1236559139784945,0.13540802887664014
50000US5110,Virginia,10,50427.0,3261.0,671080.0,10775.0,18496937.0,66959.0,0.07514305298921142,0.012134815794677704,0.002726235159907827,0.0003723417673300457,8.36,0.53,10.44,0.17,7.44,0.03,0.8007662835249042,0.12764500797047118,1.1236559139784945,0.15153732338259923
50000US4704,Tennessee,4,49244.0,3428.0,427976.0,10190.0,18496937.0,66959.0,0.11506252687066565,0.021511003714313196,0.0026622786248339386,0.0003899359956844156,8.36,0.58,8.35,0.2,7.44,0.03,1.0011976047904192,0.18699099486958703,1.1236559139784945,0.1649784021375651
50000US2610,Michigan,10,46929.0,2839.0,559155.0,8325.0,18496937.0,66959.0,0.08392842771682271,0.012656556884319216,0.002537122767948012,0.0003253427995833584,8.35,0.5,7.23,0.11,7.44,0.03,1.1549100968188104,0.17349523926154972,1.1223118279569892,0.1434618365499786
50000US2604,Michigan,4,46264.0,2329.0,559155.0,8325.0,18496937.0,66959.0,0.08273913315628045,0.01079654973626048,0.0025011708695336964,0.0002699375162046191,8.33,0.42,7.23,0.11,7.44,0.03,1.152143845089903,0.1512759085203441,1.1196236559139785,0.12193443138275095
50000US4816,Texas,16,42871.0,3500.0,1460627.0,20030.0,18496937.0,66959.0,0.029351093742618753,0.0055985152949398044,0.002317735093112984,0.0003952266393043915,8.32,0.67,7.13,0.1,7.44,0.03,1.1669004207573632,0.2207138346033301,1.118279569892473,0.1891289855779393
50000US3101,Nebraska,1,40141.0,2472.0,120533.0,4196.0,18496937.0,66959.0,0.33302912895223713,0.06428256402805718,0.002170143089096319,0.00028300306260735527,8.32,0.51,8.44,0.29,7.44,0.03,0.9857819905213271,0.18881931707179955,1.118279569892473,0.14611753356204846
50000US3914,Ohio,14,46445.0,3064.0,729520.0,11510.0,18496937.0,66959.0,0.06366514968746573,0.010411589099598318,0.0025109562734630065,0.0003494820225554455,8.32,0.54,8.11,0.13,7.44,0.03,1.025893958076449,0.1661009319415043,1.118279569892473,0.154182180815028
50000US1806,Indiana,6,46460.0,2835.0,381073.0,7461.0,18496937.0,66959.0,0.12191889742910152,0.019660657627722757,0.002511767218540021,0.00032472671304967964,8.28,0.5,7.54,0.15,7.44,0.03,1.0981432360742704,0.17638850518484367,1.1129032258064515,0.1433859594924909
50000US4702,Tennessee,2,48441.0,3183.0,427976.0,10190.0,18496937.0,66959.0,0.11318625343477204,0.02027603240052945,0.0026188660317110883,0.0003631304643097089,8.27,0.54,8.35,0.2,7.44,0.03,0.9904191616766467,0.1768880278405626,1.111559139784946,0.1541279829168225
50000US0623,California,23,43763.0,3380.0,1624519.0,22622.0,18496937.0,66959.0,0.026939050882138035,0.004912455894124321,0.0023659592936927883,0.00038260049628506163,8.27,0.62,5.41,0.08,7.44,0.03,1.5286506469500922,0.27447482545443364,1.111559139784946,0.17563370892476787
