year,state,dem,rep
1992,MO,56.5,43.5
1992,MS,45.1,54.9
1992,MT,51.7,48.3
1992,NC,49.5,50.5
1992,ND,42.1,57.9
1992,NE,38.7,61.3
1992,NH,50.8,49.2
1992,NJ,51.4,48.6
1992,NM,55.1,44.9
1992,NV,51.8,48.2
1992,NY,59.5,40.5
1992,OH,51.2,48.8
1992,OK,44.4,55.6
1992,OR,56.6,43.4
1992,PA,55.5,44.5
1992,RI,61.8,38.2
1992,SC,45.4,54.6
1992,SD,47.7,52.3
1992,TN,52.6,47.4
1992,TX,47.8,52.2
1992,US,53.5,46.5
1992,UT,36.2,63.8
1992,VA,47.4,52.6
1992,VT,60.3,39.7
1992,WA,57.6,42.4
1992,WI,52.8,47.2
1992,WV,57.8,42.2
1992,WY,46.2,53.8
1988,AK,37.8,62.2
1988,AL,40.3,59.7
1988,AR,42.8,57.2
1988,AZ,39.3,60.7
1988,CA,48.2,51.8
1988,CO,46.0,54.0
1988,CT,47.4,52.6
1988,DC,85.2,14.8
1988,DE,43.8,56.2
1988,FL,38.7,61.3
1988,GA,39.8,60.2
1988,HI,54.8,45.2
1988,IA,55.1,44.9
1988,ID,36.7,63.3
1988,IL,49.0,51.0
1988,IN,39.9,60.1
1988,KS,43.3,56.7
1988,KY,44.1,55.9
1988,LA,44.8,55.2
1988,MA,54.0,46.0
1988,MD,48.5,51.5
1988,ME,44.2,55.8
1988,MI,46.0,54.0
1988,MN,53.6,46.4
1988,MO,48.0,52.0
1988,MS,39.5,60.5
1988,MT,47.0,53.0
1988,NC,41.8,58.2
1988,ND,43.4,56.6
1988,NE,39.5,60.5
1988,NH,36.8,63.2
1988,NJ,43.1,56.9
1988,NM,47.5,52.5
1988,NV,39.2,60.8
1988,NY,52.1,47.9
1988,OH,44.5,55.5
1988,OK,41.6,58.4
1988,OR,52.4,47.6
1988,PA,48.8,51.2
1988,RI,55.9,44.1
1988,SC,37.9,62.1
1988,SD,46.8,53.2
1988,TN,41.8,58.2
1988,TX,43.7,56.3
1988,US,46.1,53.9
1988,UT,32.6,67.4
1988,VA,39.6,60.4
1988,VT,48.2,51.8
1988,WA,50.8,49.2
1988,WI,51.8,48.2
1988,WV,52.4,47.6
1988,WY,38.6,61.4
1984,AK,30.9,69.1
1984,AL,38.7,61.3
1984,AR,38.8,61.2
1984,AZ,32.9,67.1
1984,CA,41.8,58.2
1984,CO,35.6,64.4
1984,CT,39.0,61.0
1984,DC,86.1,13.9
1984,DE,40.0,60.0
1984,FL,34.7,65.3
1984,GA,39.8,60.2
1984,HI,44.3,55.7
1984,IA,46.3,53.7
1984,ID,26.7,73.3
1984,IL,43.5,56.5
1984,IN,37.9,62.1
1984,KS,33.0,67.0
1984,KY,39.6,60.4
1984,LA,38.6,61.4
1984,MA,48.6,51.4
1984,MD,47.2,52.8
1984,ME,38.9,61.1
1984,MI,40.5,59.5
1984,MN,50.1,49.9
1984,MO,40.0,60.0
1984,MS,37.7,62.3
1984,MT,38.7,61.3
1984,NC,38.0,62.0
1984,ND,34.3,65.7
1984,NE,29.0,71.0
1984,NH,31.1,68.9
1984,NJ,39.5,60.5
1984,NM,39.7,60.3
1984,NV,32.7,67.3
1984,NY,46.0,54.0
1984,OH,40.5,59.5
1984,OK,30.9,69.1
1984,OR,43.9,56.1
1984,PA,46.3,53.7
1984,RI,48.2,51.8
1984,SC,35.9,64.1
1984,SD,36.7,63.3
1984,TN,41.8,58.2
1984,TX,36.2,63.8
1984,US,40.8,59.2
1984,UT,24.9,75.1
1984,VA,37.3,62.7
1984,VT,41.3,58.7
1984,WA,43.4,56.6
1984,WI,45.4,54.6
1984,WV,44.7,55.3
1984,WY,28.6,71.4
1980,AK,32.7,67.3
1980,AL,49.3,50.7
1980,AR,49.7,50.3
1980,AZ,31.8,68.2
1980,CA,40.5,59.5
1980,CO,36.1,63.9
1980,CT,44.4,55.6
1980,DC,84.8,15.2
1980,DE,48.7,51.3
1980,FL,40.9,59.1
1980,GA,57.7,42.3
1980,HI,51.1,48.9
1980,IA,42.9,57.1
1980,ID,27.5,72.5
1980,IL,45.7,54.3
1980,IN,40.2,59.8
1980,KS,36.5,63.5
1980,KY,49.2,50.8
1980,LA,47.2,52.8
1980,MA,49.9,50.1
1980,MD,51.6,48.4
1980,ME,48.1,51.9
1980,MI,46.5,53.5
1980,MN,52.2,47.8
1980,MO,46.4,53.6
1980,MS,49.3,50.7
1980,MT,36.3,63.7
1980,NC,48.9,51.1
1980,ND,29.0,71.0
1980,NE,28.4,71.6
1980,NH,32.9,67.1
1980,NJ,42.6,57.4
1980,NM,40.1,59.9
1980,NV,30.1,69.9
1980,NY,48.5,51.5
1980,OH,44.3,55.7
1980,OK,36.6,63.4
1980,OR,44.4,55.6
1980,PA,46.1,53.9
1980,RI,56.2,43.8
1980,SC,49.2,50.8
1980,SD,34.4,65.6
1980,TN,49.9,50.1
1980,TX,42.8,57.2
1980,US,44.7,55.3
1980,UT,22.0,78.0
1980,VA,43.2,56.8
1980,VT,46.4,53.6
1980,WA,42.9,57.1
1980,WI,47.4,52.6
1980,WV,52.4,47.6
1980,WY,30.9,69.1
1976,AK,38.1,61.9
1976,AL,56.7,43.3
1976,AR,65.0,35.0
1976,AZ,41.4,58.6
1976,CA,49.1,50.9
1976,CO,44.1,55.9
1976,CT,47.4,52.6
1976,DC,83.2,16.8
1976,DE,52.7,47.3
1976,FL,52.7,47.3
1976,GA,66.9,33.1
1976,HI,51.3,48.7
1976,IA,49.5,50.5
1976,ID,38.3,61.7
1976,IL,49.0,51.0
1976,IN,46.2,53.8
1976,KS,46.1,53.9
1976,KY,53.7,46.3
1976,LA,53.0,47.0
1976,MA,58.1,41.9
1976,MD,53.0,47.0
