Id,State,Year,Ev dem,Ev gop,Dem votes,Gop votes,Third votes,Other votes,Margin votes,Dem pct,Gop pct,Third pct,Other pct,Margin pct,Winner
140,SC,2004,0,8,661699,937974,,18057,276275,0.9,0.98,,1.12,0.08,REP
141,SD,2004,0,3,149244,232584,,6387,83340,0.44,0.91,,1.65,0.47,REP
142,TN,2004,0,11,1035160,1383336,,16453,348176,0.51,0.81,,0.68,0.3,REP
143,TX,2004,0,34,2832704,4526917,,51144,1694213,0.22,0.09,,0.69,0.86,REP
144,UT,2004,0,5,241199,663742,,22903,422543,0,0.54,,2.47,0.54,REP
146,VA,2004,0,13,1454742,1716959,,26666,262217,0.48,0.68,,0.83,8.2,REP
145,VT,2004,3,0,184067,121180,,7062,62887,0.94,0.8,,2.26,0.14,DEM
147,WA,2004,11,0,1510201,1304894,,46618,205307,0.77,0.6,,1.63,7.17,DEM
149,WI,2004,10,0,1489504,1478120,,29383,11384,0.7,0.32,,0.98,0.38,DEM
148,WV,2004,0,5,326541,423778,,5568,97237,0.2,0.06,,0.74,0.86,REP
150,WY,2004,0,3,70776,167629,,5023,96853,0.07,0.86,,2.06,0.79,REP
152,AK,2000,0,3,79004,167398,28747,10411,88394,0.67,0.62,0.07,3.65,0.95,REP
151,AL,2000,0,9,695602,944409,18349,14191,248807,0.59,0.47,1.1,0.85,0.88,REP
154,AR,2000,0,6,422768,472940,13421,12652,50172,0.86,0.31,1.46,1.37,5.44,REP
153,AZ,2000,0,8,685341,781652,45645,21475,96311,0.67,0.95,2.98,1.4,6.28,REP
155,CA,2000,54,0,5861203,4567429,418707,118517,1293774,0.45,0.65,3.82,1.08,0.8,DEM
156,CO,2000,0,8,738227,883745,91434,27959,145518,0.39,0.75,5.25,1.61,8.36,REP
157,CT,2000,8,0,816015,561094,64452,17964,254921,0.91,0.44,4.42,1.23,0.47,DEM
507,DC,2000,2,0,171923,18073,10576,1322,153850,0.85,0.09,0.05,0.01,0.76,DEM
158,DE,2000,3,0,180068,137288,8307,1959,42780,0.96,0.9,2.54,0.6,0.06,DEM
159,FL,2000,0,25,2912253,2912790,97488,40579,537,0.84,0.85,1.63,0.68,0.01,REP
160,GA,2000,0,13,1116230,1419720,13432,47422,303490,0.98,0.67,0.52,1.83,0.69,REP
161,HI,2000,4,0,205286,137845,21623,3197,67441,0.79,0.46,5.88,0.87,0.33,DEM
165,IA,2000,7,0,638517,634373,29374,13299,4144,0.54,0.22,2.23,1.01,0.31,DEM
162,ID,2000,0,4,138637,336937,12292,13755,198300,0.64,0.17,2.45,2.74,0.53,REP
163,IL,2000,22,0,2589026,2019421,103759,29917,569605,0.6,0.58,2.19,0.63,0.01,DEM
164,IN,2000,0,12,901980,1245836,18531,32955,343856,0.01,0.65,0.84,1.5,0.63,REP
166,KS,2000,0,6,399276,622332,36086,14522,223056,0.24,0.04,3.37,1.35,0.8,REP
167,KY,2000,0,8,638898,872492,23192,9605,233594,0.37,0.5,1.5,0.62,0.13,REP
168,LA,2000,0,9,792344,927871,20473,24968,135527,0.88,0.55,1.16,1.41,7.68,REP
171,MA,2000,12,0,1616487,878502,173564,34431,737985,0.8,0.5,6.42,1.27,0.3,DEM
170,MD,2000,10,0,1145782,813797,53768,12133,331985,0.57,0.18,2.65,0.6,0.39,DEM
169,ME,2000,4,0,319951,286616,37127,8123,33335,0.09,0.97,5.7,1.25,5.11,DEM
172,MI,2000,18,0,2170418,1953139,84165,24989,217279,0.28,0.14,1.99,0.59,5.13,DEM
173,MN,2000,10,0,1168266,1109659,126696,34064,58607,0.91,0.5,5.2,1.4,2.4,DEM
175,MO,2000,0,11,1111138,1189924,38515,20315,78786,0.08,0.42,1.63,0.86,3.34,REP
174,MS,2000,0,7,404964,573230,8126,8606,168266,0.7,0.62,0.82,0.86,0.91,REP
176,MT,2000,0,3,137126,240178,24437,9256,103052,0.36,0.44,5.95,2.25,0.07,REP
183,NC,2000,0,14,1257692,1631163,0,22407,373471,0.2,0.03,0,0.77,0.83,REP
184,ND,2000,0,3,95284,174852,9497,8634,79568,0.05,0.66,3.29,3,0.6,REP
177,NE,2000,0,5,231780,433862,24540,6837,202082,0.25,0.25,3.52,0.98,0.99,REP
179,NH,2000,0,4,266348,273559,22198,6976,7211,0.8,0.07,3.9,1.23,1.27,REP
180,NJ,2000,15,0,1788850,1284173,94554,19649,504677,0.13,0.29,2.97,0.62,0.83,DEM
181,NM,2000,5,0,286783,286417,21251,4154,366,0.91,0.85,3.55,0.69,0.06,DEM
178,NV,2000,0,4,279978,301575,15008,12409,21597,0.98,0.52,2.46,2.04,3.55,REP
182,NY,2000,33,0,4113791,2405676,244398,67313,1708115,0.22,0.22,3.58,0.99,0,DEM
185,OH,2000,0,21,2186190,2351209,117857,50201,165019,0.46,0.97,2.5,1.07,3.51,REP
186,OK,2000,0,8,474276,744337,0,15616,270061,0.43,0.31,0,1.27,0.88,REP
187,OR,2000,7,0,720342,713577,77357,22692,6765,0.96,0.52,5.04,1.48,0.44,DEM
188,PA,2000,23,0,2485967,2281127,103392,42633,204840,0.6,0.43,2.1,0.87,4.17,DEM
189,RI,2000,4,0,249508,130555,25052,3997,118953,0.99,0.91,6.12,0.98,0.08,DEM
190,SC,2000,0,8,566039,786426,20279,11033,220387,0.91,0.83,1.47,0.8,0.93,REP
191,SD,2000,0,3,118804,190700,0,6765,71896,0.56,0.3,0,2.14,0.73,REP
192,TN,2000,0,11,981720,1061949,19781,12731,80229,0.28,0.15,0.95,0.61,3.86,REP
193,TX,2000,0,32,2433746,3799639,137994,36258,1365893,0.98,0.3,2.15,0.57,0.32,REP
194,UT,2000,0,5,203053,515096,35850,16755,312043,0.34,0.83,4.65,2.17,0.49,REP
196,VA,2000,0,13,1217290,1437490,59398,25269,220200,0.44,0.47,2.17,0.92,8.04,REP
195,VT,2000,3,0,149022,119775,20374,5137,29247,0.63,0.7,6.92,1.75,9.94,DEM
197,WA,2000,11,0,1247652,1108864,103002,29227,138788,0.13,0.56,4.14,1.17,5.58,DEM
199,WI,2000,11,0,1242987,1237279,94070,24271,5708,0.83,0.61,3.62,0.93,0.22,DEM
198,WV,2000,0,5,295497,336475,10680,5472,40978,0.59,0.92,1.65,0.84,6.32,REP
200,WY,2000,0,3,60481,147947,4625,5298,87466,0.7,0.76,2.12,2.43,0.06,REP
